U 40
3 9 18.1596
3 10 20.8999
3 11 23.5114
3 12 25.9779
3 13 28.2843
3 14 30.4162
3 15 32.3607
3 16 34.1056
3 17 35.6403
3 18 36.9552
3 19 38.0423
3 20 38.8948
3 21 39.5075
3 22 39.8767
3 23 40
3 24 39.8767
3 25 39.5075
3 26 38.8948
3 27 38.0423
3 28 36.9552
3 29 35.6403
3 30 34.1056
3 31 32.3607
3 32 30.4162
3 33 28.2843
3 34 25.9779
3 35 23.5114
3 36 20.8999
3 37 18.1596
3 38 15.3073
3 39 12.3607
4 5 3.13836
4 6 6.25738
4 7 9.33781
4 8 12.3607
4 9 15.3073
4 10 18.1596
4 11 20.8999
4 12 23.5114
4 13 25.9779
4 14 28.2843
4 15 30.4162
4 16 32.3607
4 17 34.1056
4 18 35.6403
4 19 36.9552
4 20 38.0423
4 21 38.8948
4 22 39.5075
4 23 39.8767
4 24 40
4 25 39.8767
4 26 39.5075
4 27 38.8948
4 28 38.0423
4 29 36.9552
4 30 35.6403
4 31 34.1056
4 32 32.3607
4 33 30.4162
4 34 28.2843
4 35 25.9779
4 36 23.5114
4 37 20.8999
4 38 18.1596
4 39 15.3073
5 6 3.13836
5 7 6.25738
5 8 9.33781
5 9 12.3607
5 10 15.3073
5 11 18.1596
5 12 20.8999
5 13 23.5114
5 14 25.9779
5 15 28.2843
5 16 30.4162
5 17 32.3607
5 18 34.1056
5 19 35.6403
5 20 36.9552
5 21 38.0423
5 22 38.8948
5 23 39.5075
5 24 39.8767
5 25 40
5 26 39.8767
5 27 39.5075
5 28 38.8948
5 29 38.0423
5 30 36.9552
5 31 35.6403
5 32 34.1056
5 33 32.3607
5 34 30.4162
5 35 28.2843
5 36 25.9779
5 37 23.5114
5 38 20.8999
5 39 18.1596
6 7 3.13836
6 8 6.25738
6 9 9.33781
6 10 12.3607
6 11 15.3073
6 12 18.1596
6 13 20.8999
6 14 23.5114
6 15 25.9779
6 16 28.2843
6 17 30.4162
6 18 32.3607
6 19 34.1056
6 20 35.6403
6 21 36.9552
6 22 38.0423
6 23 38.8948
6 24 39.5075
6 25 39.8767
6 26 40
6 27 39.8767
6 28 39.5075
6 29 38.8948
6 30 38.0423
6 31 36.9552
6 32 35.6403
6 33 34.1056
6 34 32.3607
6 35 30.4162
6 36 28.2843
6 37 25.9779
6 38 23.5114
6 39 20.8999
7 8 3.13836
7 9 6.25738
7 10 9.33781
7 11 12.3607
7 12 15.3073
7 13 18.1596
7 14 20.8999
7 15 23.5114
7 16 25.9779
7 17 28.2843
7 18 30.4162
7 19 32.3607
7 20 34.1056
7 21 35.6403
7 22 36.9552
7 23 38.0423
7 24 38.8948
7 25 39.5075
7 26 39.8767
7 27 40
7 28 39.8767
7 29 39.5075
7 30 38.8948
7 31 38.0423
7 32 36.9552
7 33 35.6403
7 34 34.1056
7 35 32.3607
7 36 30.4162
7 37 28.2843
7 38 25.9779
7 39 23.5114
8 9 3.13836
8 10 6.25738
8 11 9.33781
8 12 12.3607
8 13 15.3073
8 14 18.1596
8 15 20.8999
8 16 23.5114
8 17 25.9779
8 18 28.2843
8 19 30.4162
8 20 32.3607
8 21 34.1056
8 22 35.6403
8 23 36.9552
8 24 38.0423
8 25 38.8948
8 26 39.5075
8 27 39.8767
8 28 40
8 29 39.8767
8 30 39.5075
8 31 38.8948
8 32 38.0423
8 33 36.9552
8 34 35.6403
8 35 34.1056
8 36 32.3607
8 37 30.4162
8 38 28.2843
8 39 25.9779
9 10 3.13836
9 11 6.25738
9 12 9.33781
9 13 12.3607
9 14 15.3073
9 15 18.1596
9 16 20.8999
9 17 23.5114
9 18 25.9779
9 19 28.2843
9 20 30.4162
9 21 32.3607
9 22 34.1056
9 23 35.6403
9 24 36.9552
9 25 38.0423
9 26 38.8948
9 27 39.5075
9 28 39.8767
9 29 40
9 30 39.8767
9 31 39.5075
9 32 38.8948
9 33 38.0423
9 34 36.9552
9 35 35.6403
9 36 34.1056
9 37 32.3607
9 38 30.4162
9 39 28.2843
10 11 3.13836
10 12 6.25738
10 13 9.33781
10 14 12.3607
10 15 15.3073
10 16 18.1596
10 17 20.8999
10 18 23.5114
10 19 25.9779
10 20 28.2843
10 21 30.4162
10 22 32.3607
10 23 34.1056
10 24 35.6403
10 25 36.9552
10 26 38.0423
10 27 38.8948
10 28 39.5075
10 29 39.8767
10 30 40
10 31 39.8767
10 32 39.5075
10 33 38.8948
10 34 38.0423
10 35 36.9552
10 36 35.6403
10 37 34.1056
10 38 32.3607
10 39 30.4162
11 12 3.13836
11 13 6.25738
11 14 9.33781
11 15 12.3607
11 16 15.3073
11 17 18.1596
11 18 20.8999
11 19 23.5114
11 20 25.9779
11 21 28.2843
11 22 30.4162
11 23 32.3607
11 24 34.1056
11 25 35.6403
11 26 36.9552
11 27 38.0423
11 28 38.8948
11 29 39.5075
11 30 39.8767
11 31 40
11 32 39.8767
11 33 39.5075
11 34 38.8948
11 35 38.0423
11 36 36.9552
11 37 35.6403
11 38 34.1056
11 39 32.3607
12 13 3.13836
12 14 6.25738
12 15 9.33781
12 16 12.3607
12 17 15.3073
12 18 18.1596
12 19 20.8999
12 20 23.5114
12 21 25.9779
12 22 28.2843
12 23 30.4162
12 24 32.3607
12 25 34.1056
12 26 35.6403
12 27 36.9552
12 28 38.0423
12 29 38.8948
12 30 39.5075
12 31 39.8767
12 32 40
12 33 39.8767
12 34 39.5075
12 35 38.8948
12 36 38.0423
12 37 36.9552
12 38 35.6403
12 39 34.1056
13 14 3.13836
13 15 6.25738
13 16 9.33781
13 17 12.3607
13 18 15.3073
13 19 18.1596
13 20 20.8999
13 21 23.5114
13 22 25.9779
13 23 28.2843
13 24 30.4162
13 25 32.3607
13 26 34.1056
13 27 35.6403
13 28 36.9552
13 29 38.0423
13 30 38.8948
13 31 39.5075
13 32 39.8767
13 33 40
13 34 39.8767
13 35 39.5075
13 36 38.8948
13 37 38.0423
13 38 36.9552
13 39 35.6403
14 15 3.13836
14 16 6.25738
14 17 9.33781
14 18 12.3607
14 19 15.3073
14 20 18.1596
14 21 20.8999
14 22 23.5114
14 23 25.9779
14 24 28.2843
14 25 30.4162
14 26 32.3607
14 27 34.1056
14 28 35.6403
14 29 36.9552
14 30 38.0423
14 31 38.8948
14 32 39.5075
14 33 39.8767
14 34 40
14 35 39.8767
14 36 39.5075
14 37 38.8948
14 38 38.0423
14 39 36.9552
15 16 3.13836
15 17 6.25738
15 18 9.33781
15 19 12.3607
15 20 15.3073
15 21 18.1596
15 22 20.8999
15 23 23.5114
15 24 25.9779
15 25 28.2843
15 26 30.4162
15 27 32.3607
15 28 34.1056
15 29 35.6403
15 30 36.9552
15 31 38.0423
15 32 38.8948
15 33 39.5075
15 34 39.8767
15 35 40
15 36 39.8767
15 37 39.5075
15 38 38.8948
15 39 38.0423
16 17 3.13836
16 18 6.25738
16 19 9.33781
16 20 12.3607
16 21 15.3073
16 22 18.1596
16 23 20.8999
16 24 23.5114
16 25 25.9779
16 26 28.2843
16 27 30.4162
16 28 32.3607
16 29 34.1056
16 30 35.6403
16 31 36.9552
16 32 38.0423
16 33 38.8948
16 34 39.5075
16 35 39.8767
16 36 40
16 37 39.8767
16 38 39.5075
16 39 38.8948
17 18 3.13836
17 19 6.25738
17 20 9.33781
17 21 12.3607
17 22 15.3073
17 23 18.1596
17 24 20.8999
17 25 23.5114
17 26 25.9779
17 27 28.2843
17 28 30.4162
17 29 32.3607
17 30 34.1056
17 31 35.6403
17 32 36.9552
17 33 38.0423
17 34 38.8948
17 35 39.5075
17 36 39.8767
17 37 40
17 38 39.8767
17 39 39.5075
18 19 3.13836
18 20 6.25738
18 21 9.33781
18 22 12.3607
18 23 15.3073
18 24 18.1596
18 25 20.8999
18 26 23.5114
18 27 25.9779
18 28 28.2843
18 29 30.4162
18 30 32.3607
18 31 34.1056
18 32 35.6403
18 33 36.9552
18 34 38.0423
18 35 38.8948
18 36 39.5075
18 37 39.8767
18 38 40
18 39 39.8767
19 20 3.13836
19 21 6.25738
19 22 9.33781
19 23 12.3607
19 24 15.3073
19 25 18.1596
19 26 20.8999
19 27 23.5114
19 28 25.9779
19 29 28.2843
19 30 30.4162
19 31 32.3607
19 32 34.1056
19 33 35.6403
19 34 36.9552
19 35 38.0423
19 36 38.8948
19 37 39.5075
19 38 39.8767
19 39 40
20 21 3.13836
20 22 6.25738
20 23 9.33781
20 24 12.3607
20 25 15.3073
20 26 18.1596
20 27 20.8999
20 28 23.5114
20 29 25.9779
20 30 28.2843
20 31 30.4162
20 32 32.3607
20 33 34.1056
20 34 35.6403
20 35 36.9552
20 36 38.0423
20 37 38.8948
20 38 39.5075
20 39 39.8767
21 22 3.13836
21 23 6.25738
21 24 9.33781
21 25 12.3607
21 26 15.3073
21 27 18.1596
21 28 20.8999
21 29 23.5114
21 30 25.9779
21 31 28.2843
21 32 30.4162
21 33 32.3607
21 34 34.1056
21 35 35.6403
21 36 36.9552
21 37 38.0423
21 38 38.8948
21 39 39.5075
22 23 3.13836
22 24 6.25738
22 25 9.33781
22 26 12.3607
22 27 15.3073
22 28 18.1596
22 29 20.8999
22 30 23.5114
22 31 25.9779
22 32 28.2843
22 33 30.4162
22 34 32.3607
22 35 34.1056
22 36 35.6403
22 37 36.9552
22 38 38.0423
22 39 38.8948
23 24 3.13836
23 25 6.25738
23 26 9.33781
23 27 12.3607
23 28 15.3073
23 29 18.1596
23 30 20.8999
23 31 23.5114
23 32 25.9779
23 33 28.2843
23 34 30.4162
23 35 32.3607
23 36 34.1056
23 37 35.6403
23 38 36.9552
23 39 38.0423
24 25 3.13836
24 26 6.25738
24 27 9.33781
24 28 12.3607
24 29 15.3073
24 30 18.1596
24 31 20.8999
24 32 23.5114
24 33 25.9779
24 34 28.2843
24 35 30.4162
24 36 32.3607
24 37 34.1056
24 38 35.6403
24 39 36.9552
25 26 3.13836
25 27 6.25738
25 28 9.33781
25 29 12.3607
25 30 15.3073
25 31 18.1596
25 32 20.8999
25 33 23.5114
25 34 25.9779
25 35 28.2843
25 36 30.4162
25 37 32.3607
25 38 34.1056
25 39 35.6403
26 27 3.13836
26 28 6.25738
26 29 9.33781
26 30 12.3607
26 31 15.3073
26 32 18.1596
26 33 20.8999
26 34 23.5114
26 35 25.9779
26 36 28.2843
26 37 30.4162
26 38 32.3607
26 39 34.1056
27 28 3.13836
27 29 6.25738
27 30 9.33781
27 31 12.3607
27 32 15.3073
27 33 18.1596
27 34 20.8999
27 35 23.5114
27 36 25.9779
27 37 28.2843
27 38 30.4162
27 39 32.3607
28 29 3.13836
28 30 6.25738
28 31 9.33781
28 32 12.3607
28 33 15.3073
28 34 18.1596
28 35 20.8999
28 36 23.5114
28 37 25.9779
28 38 28.2843
28 39 30.4162
29 30 3.13836
29 31 6.25738
29 32 9.33781
29 33 12.3607
29 34 15.3073
29 35 18.1596
29 36 20.8999
29 37 23.5114
29 38 25.9779
29 39 28.2843
30 31 3.13836
30 32 6.25738
30 33 9.33781
30 34 12.3607
30 35 15.3073
30 36 18.1596
30 37 20.8999
30 38 23.5114
30 39 25.9779
31 32 3.13836
31 33 6.25738
31 34 9.33781
31 35 12.3607
31 36 15.3073
31 37 18.1596
31 38 20.8999
31 39 23.5114
32 33 3.13836
32 34 6.25738
32 35 9.33781
32 36 12.3607
32 37 15.3073
32 38 18.1596
32 39 20.8999
33 34 3.13836
33 35 6.25738
33 36 9.33781
33 37 12.3607
33 38 15.3073
33 39 18.1596
34 35 3.13836
34 36 6.25738
34 37 9.33781
34 38 12.3607
34 39 15.3073
35 36 3.13836
35 37 6.25738
35 38 9.33781
35 39 12.3607
36 37 3.13836
36 38 6.25738
36 39 9.33781
37 38 3.13836
37 39 6.25738
38 39 3.13836
