U 80
3 53 39.3923
3 54 39.1259
3 55 38.8118
3 56 38.4505
3 57 38.0423
3 58 37.5877
3 59 37.0874
3 60 36.5418
3 61 35.9518
3 62 35.3179
3 63 34.641
3 64 33.9219
3 65 33.1615
3 66 32.3607
3 67 31.5204
3 68 30.6418
3 69 29.7258
3 70 28.7736
3 71 27.7863
3 72 26.7652
3 73 25.7115
3 74 24.6265
3 75 23.5114
3 76 22.3677
3 77 21.1968
3 78 20
3 79 18.7789
4 5 1.39598
4 6 2.79026
4 7 4.18114
4 8 5.56692
4 9 6.94593
4 10 8.31647
4 11 9.67688
4 12 11.0255
4 13 12.3607
4 14 13.6808
4 15 14.9843
4 16 16.2695
4 17 17.5348
4 18 18.7789
4 19 20
4 20 21.1968
4 21 22.3677
4 22 23.5114
4 23 24.6265
4 24 25.7115
4 25 26.7652
4 26 27.7863
4 27 28.7736
4 28 29.7258
4 29 30.6418
4 30 31.5204
4 31 32.3607
4 32 33.1615
4 33 33.9219
4 34 34.641
4 35 35.3179
4 36 35.9518
4 37 36.5418
4 38 37.0874
4 39 37.5877
4 40 38.0423
4 41 38.4505
4 42 38.8118
4 43 39.1259
4 44 39.3923
4 45 39.6107
4 46 39.7809
4 47 39.9026
4 48 39.9756
4 49 40
4 50 39.9756
4 51 39.9026
4 52 39.7809
4 53 39.6107
4 54 39.3923
4 55 39.1259
4 56 38.8118
4 57 38.4505
4 58 38.0423
4 59 37.5877
4 60 37.0874
4 61 36.5418
4 62 35.9518
4 63 35.3179
4 64 34.641
4 65 33.9219
4 66 33.1615
4 67 32.3607
4 68 31.5204
4 69 30.6418
4 70 29.7258
4 71 28.7736
4 72 27.7863
4 73 26.7652
4 74 25.7115
4 75 24.6265
4 76 23.5114
4 77 22.3677
4 78 21.1968
4 79 20
5 6 1.39598
5 7 2.79026
5 8 4.18114
5 9 5.56692
5 10 6.94593
5 11 8.31647
5 12 9.67688
5 13 11.0255
5 14 12.3607
5 15 13.6808
5 16 14.9843
5 17 16.2695
5 18 17.5348
5 19 18.7789
5 20 20
5 21 21.1968
5 22 22.3677
5 23 23.5114
5 24 24.6265
5 25 25.7115
5 26 26.7652
5 27 27.7863
5 28 28.7736
5 29 29.7258
5 30 30.6418
5 31 31.5204
5 32 32.3607
5 33 33.1615
5 34 33.9219
5 35 34.641
5 36 35.3179
5 37 35.9518
5 38 36.5418
5 39 37.0874
5 40 37.5877
5 41 38.0423
5 42 38.4505
5 43 38.8118
5 44 39.1259
5 45 39.3923
5 46 39.6107
5 47 39.7809
5 48 39.9026
5 49 39.9756
5 50 40
5 51 39.9756
5 52 39.9026
5 53 39.7809
5 54 39.6107
5 55 39.3923
5 56 39.1259
5 57 38.8118
5 58 38.4505
5 59 38.0423
5 60 37.5877
5 61 37.0874
5 62 36.5418
5 63 35.9518
5 64 35.3179
5 65 34.641
5 66 33.9219
5 67 33.1615
5 68 32.3607
5 69 31.5204
5 70 30.6418
5 71 29.7258
5 72 28.7736
5 73 27.7863
5 74 26.7652
5 75 25.7115
5 76 24.6265
5 77 23.5114
5 78 22.3677
5 79 21.1968
6 7 1.39598
6 8 2.79026
6 9 4.18114
6 10 5.56692
6 11 6.94593
6 12 8.31647
6 13 9.67688
6 14 11.0255
6 15 12.3607
6 16 13.6808
6 17 14.9843
6 18 16.2695
6 19 17.5348
6 20 18.7789
6 21 20
6 22 21.1968
6 23 22.3677
6 24 23.5114
6 25 24.6265
6 26 25.7115
6 27 26.7652
6 28 27.7863
6 29 28.7736
6 30 29.7258
6 31 30.6418
6 32 31.5204
6 33 32.3607
6 34 33.1615
6 35 33.9219
6 36 34.641
6 37 35.3179
6 38 35.9518
6 39 36.5418
6 40 37.0874
6 41 37.5877
6 42 38.0423
6 43 38.4505
6 44 38.8118
6 45 39.1259
6 46 39.3923
6 47 39.6107
6 48 39.7809
6 49 39.9026
6 50 39.9756
6 51 40
6 52 39.9756
6 53 39.9026
6 54 39.7809
6 55 39.6107
6 56 39.3923
6 57 39.1259
6 58 38.8118
6 59 38.4505
6 60 38.0423
6 61 37.5877
6 62 37.0874
6 63 36.5418
6 64 35.9518
6 65 35.3179
6 66 34.641
6 67 33.9219
6 68 33.1615
6 69 32.3607
6 70 31.5204
6 71 30.6418
6 72 29.7258
6 73 28.7736
6 74 27.7863
6 75 26.7652
6 76 25.7115
6 77 24.6265
6 78 23.5114
6 79 22.3677
7 8 1.39598
7 9 2.79026
7 10 4.18114
7 11 5.56692
7 12 6.94593
7 13 8.31647
7 14 9.67688
7 15 11.0255
7 16 12.3607
7 17 13.6808
7 18 14.9843
7 19 16.2695
7 20 17.5348
7 21 18.7789
7 22 20
7 23 21.1968
7 24 22.3677
7 25 23.5114
7 26 24.6265
7 27 25.7115
7 28 26.7652
7 29 27.7863
7 30 28.7736
7 31 29.7258
7 32 30.6418
7 33 31.5204
7 34 32.3607
7 35 33.1615
7 36 33.9219
7 37 34.641
7 38 35.3179
7 39 35.9518
7 40 36.5418
7 41 37.0874
7 42 37.5877
7 43 38.0423
7 44 38.4505
7 45 38.8118
7 46 39.1259
7 47 39.3923
7 48 39.6107
7 49 39.7809
7 50 39.9026
7 51 39.9756
7 52 40
7 53 39.9756
7 54 39.9026
7 55 39.7809
7 56 39.6107
7 57 39.3923
7 58 39.1259
7 59 38.8118
7 60 38.4505
7 61 38.0423
7 62 37.5877
7 63 37.0874
7 64 36.5418
7 65 35.9518
7 66 35.3179
7 67 34.641
7 68 33.9219
7 69 33.1615
7 70 32.3607
7 71 31.5204
7 72 30.6418
7 73 29.7258
7 74 28.7736
7 75 27.7863
7 76 26.7652
7 77 25.7115
7 78 24.6265
7 79 23.5114
8 9 1.39598
8 10 2.79026
8 11 4.18114
8 12 5.56692
8 13 6.94593
8 14 8.31647
8 15 9.67688
8 16 11.0255
8 17 12.3607
8 18 13.6808
8 19 14.9843
8 20 16.2695
8 21 17.5348
8 22 18.7789
8 23 20
8 24 21.1968
8 25 22.3677
8 26 23.5114
8 27 24.6265
8 28 25.7115
8 29 26.7652
8 30 27.7863
8 31 28.7736
8 32 29.7258
8 33 30.6418
8 34 31.5204
8 35 32.3607
8 36 33.1615
8 37 33.9219
8 38 34.641
8 39 35.3179
8 40 35.9518
8 41 36.5418
8 42 37.0874
8 43 37.5877
8 44 38.0423
8 45 38.4505
8 46 38.8118
8 47 39.1259
8 48 39.3923
8 49 39.6107
8 50 39.7809
8 51 39.9026
8 52 39.9756
8 53 40
8 54 39.9756
8 55 39.9026
8 56 39.7809
8 57 39.6107
8 58 39.3923
8 59 39.1259
8 60 38.8118
8 61 38.4505
8 62 38.0423
8 63 37.5877
8 64 37.0874
8 65 36.5418
8 66 35.9518
8 67 35.3179
8 68 34.641
8 69 33.9219
8 70 33.1615
8 71 32.3607
8 72 31.5204
8 73 30.6418
8 74 29.7258
8 75 28.7736
8 76 27.7863
8 77 26.7652
8 78 25.7115
8 79 24.6265
9 10 1.39598
9 11 2.79026
9 12 4.18114
9 13 5.56692
9 14 6.94593
9 15 8.31647
9 16 9.67688
9 17 11.0255
9 18 12.3607
9 19 13.6808
9 20 14.9843
9 21 16.2695
9 22 17.5348
9 23 18.7789
9 24 20
9 25 21.1968
9 26 22.3677
9 27 23.5114
9 28 24.6265
9 29 25.7115
9 30 26.7652
9 31 27.7863
9 32 28.7736
9 33 29.7258
9 34 30.6418
9 35 31.5204
9 36 32.3607
9 37 33.1615
9 38 33.9219
9 39 34.641
9 40 35.3179
9 41 35.9518
9 42 36.5418
9 43 37.0874
9 44 37.5877
9 45 38.0423
9 46 38.4505
9 47 38.8118
9 48 39.1259
9 49 39.3923
9 50 39.6107
9 51 39.7809
9 52 39.9026
9 53 39.9756
9 54 40
9 55 39.9756
9 56 39.9026
9 57 39.7809
9 58 39.6107
9 59 39.3923
9 60 39.1259
9 61 38.8118
9 62 38.4505
9 63 38.0423
9 64 37.5877
9 65 37.0874
9 66 36.5418
9 67 35.9518
9 68 35.3179
9 69 34.641
9 70 33.9219
9 71 33.1615
9 72 32.3607
9 73 31.5204
9 74 30.6418
9 75 29.7258
9 76 28.7736
9 77 27.7863
9 78 26.7652
9 79 25.7115
10 11 1.39598
10 12 2.79026
10 13 4.18114
10 14 5.56692
10 15 6.94593
10 16 8.31647
10 17 9.67688
10 18 11.0255
10 19 12.3607
10 20 13.6808
10 21 14.9843
10 22 16.2695
10 23 17.5348
10 24 18.7789
10 25 20
10 26 21.1968
10 27 22.3677
10 28 23.5114
10 29 24.6265
10 30 25.7115
10 31 26.7652
10 32 27.7863
10 33 28.7736
10 34 29.7258
10 35 30.6418
10 36 31.5204
10 37 32.3607
10 38 33.1615
10 39 33.9219
10 40 34.641
10 41 35.3179
10 42 35.9518
10 43 36.5418
10 44 37.0874
10 45 37.5877
10 46 38.0423
10 47 38.4505
10 48 38.8118
10 49 39.1259
10 50 39.3923
10 51 39.6107
10 52 39.7809
10 53 39.9026
10 54 39.9756
10 55 40
10 56 39.9756
10 57 39.9026
10 58 39.7809
10 59 39.6107
10 60 39.3923
10 61 39.1259
10 62 38.8118
10 63 38.4505
10 64 38.0423
10 65 37.5877
10 66 37.0874
10 67 36.5418
10 68 35.9518
10 69 35.3179
10 70 34.641
10 71 33.9219
10 72 33.1615
10 73 32.3607
10 74 31.5204
10 75 30.6418
10 76 29.7258
10 77 28.7736
10 78 27.7863
10 79 26.7652
11 12 1.39598
11 13 2.79026
11 14 4.18114
11 15 5.56692
11 16 6.94593
11 17 8.31647
11 18 9.67688
11 19 11.0255
11 20 12.3607
11 21 13.6808
11 22 14.9843
11 23 16.2695
11 24 17.5348
11 25 18.7789
11 26 20
11 27 21.1968
11 28 22.3677
11 29 23.5114
11 30 24.6265
11 31 25.7115
11 32 26.7652
11 33 27.7863
11 34 28.7736
11 35 29.7258
11 36 30.6418
11 37 31.5204
11 38 32.3607
11 39 33.1615
11 40 33.9219
11 41 34.641
11 42 35.3179
11 43 35.9518
11 44 36.5418
11 45 37.0874
11 46 37.5877
11 47 38.0423
11 48 38.4505
11 49 38.8118
11 50 39.1259
11 51 39.3923
11 52 39.6107
11 53 39.7809
11 54 39.9026
11 55 39.9756
11 56 40
11 57 39.9756
11 58 39.9026
11 59 39.7809
11 60 39.6107
11 61 39.3923
11 62 39.1259
11 63 38.8118
11 64 38.4505
11 65 38.0423
11 66 37.5877
11 67 37.0874
11 68 36.5418
11 69 35.9518
11 70 35.3179
11 71 34.641
11 72 33.9219
11 73 33.1615
11 74 32.3607
11 75 31.5204
11 76 30.6418
11 77 29.7258
11 78 28.7736
11 79 27.7863
12 13 1.39598
12 14 2.79026
12 15 4.18114
12 16 5.56692
12 17 6.94593
12 18 8.31647
12 19 9.67688
12 20 11.0255
12 21 12.3607
12 22 13.6808
12 23 14.9843
12 24 16.2695
12 25 17.5348
12 26 18.7789
12 27 20
12 28 21.1968
12 29 22.3677
12 30 23.5114
12 31 24.6265
12 32 25.7115
12 33 26.7652
12 34 27.7863
12 35 28.7736
12 36 29.7258
12 37 30.6418
12 38 31.5204
12 39 32.3607
12 40 33.1615
12 41 33.9219
12 42 34.641
12 43 35.3179
12 44 35.9518
12 45 36.5418
12 46 37.0874
12 47 37.5877
12 48 38.0423
12 49 38.4505
12 50 38.8118
12 51 39.1259
12 52 39.3923
12 53 39.6107
12 54 39.7809
12 55 39.9026
12 56 39.9756
12 57 40
12 58 39.9756
12 59 39.9026
12 60 39.7809
12 61 39.6107
12 62 39.3923
12 63 39.1259
12 64 38.8118
12 65 38.4505
12 66 38.0423
12 67 37.5877
12 68 37.0874
12 69 36.5418
12 70 35.9518
12 71 35.3179
12 72 34.641
12 73 33.9219
12 74 33.1615
12 75 32.3607
12 76 31.5204
12 77 30.6418
12 78 29.7258
12 79 28.7736
13 14 1.39598
13 15 2.79026
13 16 4.18114
13 17 5.56692
13 18 6.94593
13 19 8.31647
13 20 9.67688
13 21 11.0255
13 22 12.3607
13 23 13.6808
13 24 14.9843
13 25 16.2695
13 26 17.5348
13 27 18.7789
13 28 20
13 29 21.1968
13 30 22.3677
13 31 23.5114
13 32 24.6265
13 33 25.7115
13 34 26.7652
13 35 27.7863
13 36 28.7736
13 37 29.7258
13 38 30.6418
13 39 31.5204
13 40 32.3607
13 41 33.1615
13 42 33.9219
13 43 34.641
13 44 35.3179
13 45 35.9518
13 46 36.5418
13 47 37.0874
13 48 37.5877
13 49 38.0423
13 50 38.4505
13 51 38.8118
13 52 39.1259
13 53 39.3923
13 54 39.6107
13 55 39.7809
13 56 39.9026
13 57 39.9756
13 58 40
13 59 39.9756
13 60 39.9026
13 61 39.7809
13 62 39.6107
13 63 39.3923
13 64 39.1259
13 65 38.8118
13 66 38.4505
13 67 38.0423
13 68 37.5877
13 69 37.0874
13 70 36.5418
13 71 35.9518
13 72 35.3179
13 73 34.641
13 74 33.9219
13 75 33.1615
13 76 32.3607
13 77 31.5204
13 78 30.6418
13 79 29.7258
14 15 1.39598
14 16 2.79026
14 17 4.18114
14 18 5.56692
14 19 6.94593
14 20 8.31647
14 21 9.67688
14 22 11.0255
14 23 12.3607
14 24 13.6808
14 25 14.9843
14 26 16.2695
14 27 17.5348
14 28 18.7789
14 29 20
14 30 21.1968
14 31 22.3677
14 32 23.5114
14 33 24.6265
14 34 25.7115
14 35 26.7652
14 36 27.7863
14 37 28.7736
14 38 29.7258
14 39 30.6418
14 40 31.5204
14 41 32.3607
14 42 33.1615
14 43 33.9219
14 44 34.641
14 45 35.3179
14 46 35.9518
14 47 36.5418
14 48 37.0874
14 49 37.5877
14 50 38.0423
14 51 38.4505
14 52 38.8118
14 53 39.1259
14 54 39.3923
14 55 39.6107
14 56 39.7809
14 57 39.9026
14 58 39.9756
14 59 40
14 60 39.9756
14 61 39.9026
14 62 39.7809
14 63 39.6107
14 64 39.3923
14 65 39.1259
14 66 38.8118
14 67 38.4505
14 68 38.0423
14 69 37.5877
14 70 37.0874
14 71 36.5418
14 72 35.9518
14 73 35.3179
14 74 34.641
14 75 33.9219
14 76 33.1615
14 77 32.3607
14 78 31.5204
14 79 30.6418
15 16 1.39598
15 17 2.79026
15 18 4.18114
15 19 5.56692
15 20 6.94593
15 21 8.31647
15 22 9.67688
15 23 11.0255
15 24 12.3607
15 25 13.6808
15 26 14.9843
15 27 16.2695
15 28 17.5348
15 29 18.7789
15 30 20
15 31 21.1968
15 32 22.3677
15 33 23.5114
15 34 24.6265
15 35 25.7115
15 36 26.7652
15 37 27.7863
15 38 28.7736
15 39 29.7258
15 40 30.6418
15 41 31.5204
15 42 32.3607
15 43 33.1615
15 44 33.9219
15 45 34.641
15 46 35.3179
15 47 35.9518
15 48 36.5418
15 49 37.0874
15 50 37.5877
15 51 38.0423
15 52 38.4505
15 53 38.8118
15 54 39.1259
15 55 39.3923
15 56 39.6107
15 57 39.7809
15 58 39.9026
15 59 39.9756
15 60 40
15 61 39.9756
15 62 39.9026
15 63 39.7809
15 64 39.6107
15 65 39.3923
15 66 39.1259
15 67 38.8118
15 68 38.4505
15 69 38.0423
15 70 37.5877
15 71 37.0874
15 72 36.5418
15 73 35.9518
15 74 35.3179
15 75 34.641
15 76 33.9219
15 77 33.1615
15 78 32.3607
15 79 31.5204
16 17 1.39598
16 18 2.79026
16 19 4.18114
16 20 5.56692
16 21 6.94593
16 22 8.31647
16 23 9.67688
16 24 11.0255
16 25 12.3607
16 26 13.6808
16 27 14.9843
16 28 16.2695
16 29 17.5348
16 30 18.7789
16 31 20
16 32 21.1968
16 33 22.3677
16 34 23.5114
16 35 24.6265
16 36 25.7115
16 37 26.7652
16 38 27.7863
16 39 28.7736
16 40 29.7258
16 41 30.6418
16 42 31.5204
16 43 32.3607
16 44 33.1615
16 45 33.9219
16 46 34.641
16 47 35.3179
16 48 35.9518
16 49 36.5418
16 50 37.0874
16 51 37.5877
16 52 38.0423
16 53 38.4505
16 54 38.8118
16 55 39.1259
16 56 39.3923
16 57 39.6107
16 58 39.7809
16 59 39.9026
16 60 39.9756
16 61 40
16 62 39.9756
16 63 39.9026
16 64 39.7809
16 65 39.6107
16 66 39.3923
16 67 39.1259
16 68 38.8118
16 69 38.4505
16 70 38.0423
16 71 37.5877
16 72 37.0874
16 73 36.5418
16 74 35.9518
16 75 35.3179
16 76 34.641
16 77 33.9219
16 78 33.1615
16 79 32.3607
17 18 1.39598
17 19 2.79026
17 20 4.18114
17 21 5.56692
17 22 6.94593
17 23 8.31647
17 24 9.67688
17 25 11.0255
17 26 12.3607
17 27 13.6808
17 28 14.9843
17 29 16.2695
17 30 17.5348
17 31 18.7789
17 32 20
17 33 21.1968
17 34 22.3677
17 35 23.5114
17 36 24.6265
17 37 25.7115
17 38 26.7652
17 39 27.7863
17 40 28.7736
17 41 29.7258
17 42 30.6418
17 43 31.5204
17 44 32.3607
17 45 33.1615
17 46 33.9219
17 47 34.641
17 48 35.3179
17 49 35.9518
17 50 36.5418
17 51 37.0874
17 52 37.5877
17 53 38.0423
17 54 38.4505
17 55 38.8118
17 56 39.1259
17 57 39.3923
17 58 39.6107
17 59 39.7809
17 60 39.9026
17 61 39.9756
17 62 40
17 63 39.9756
17 64 39.9026
17 65 39.7809
17 66 39.6107
17 67 39.3923
17 68 39.1259
17 69 38.8118
17 70 38.4505
17 71 38.0423
17 72 37.5877
17 73 37.0874
17 74 36.5418
17 75 35.9518
17 76 35.3179
17 77 34.641
17 78 33.9219
17 79 33.1615
18 19 1.39598
18 20 2.79026
18 21 4.18114
18 22 5.56692
18 23 6.94593
18 24 8.31647
18 25 9.67688
18 26 11.0255
18 27 12.3607
18 28 13.6808
18 29 14.9843
18 30 16.2695
18 31 17.5348
18 32 18.7789
18 33 20
18 34 21.1968
18 35 22.3677
18 36 23.5114
18 37 24.6265
18 38 25.7115
18 39 26.7652
18 40 27.7863
18 41 28.7736
18 42 29.7258
18 43 30.6418
18 44 31.5204
18 45 32.3607
18 46 33.1615
18 47 33.9219
18 48 34.641
18 49 35.3179
18 50 35.9518
18 51 36.5418
18 52 37.0874
18 53 37.5877
18 54 38.0423
18 55 38.4505
18 56 38.8118
18 57 39.1259
18 58 39.3923
18 59 39.6107
18 60 39.7809
18 61 39.9026
18 62 39.9756
18 63 40
18 64 39.9756
18 65 39.9026
18 66 39.7809
18 67 39.6107
18 68 39.3923
18 69 39.1259
18 70 38.8118
18 71 38.4505
18 72 38.0423
18 73 37.5877
18 74 37.0874
18 75 36.5418
18 76 35.9518
18 77 35.3179
18 78 34.641
18 79 33.9219
19 20 1.39598
19 21 2.79026
19 22 4.18114
19 23 5.56692
19 24 6.94593
19 25 8.31647
19 26 9.67688
19 27 11.0255
19 28 12.3607
19 29 13.6808
19 30 14.9843
19 31 16.2695
19 32 17.5348
19 33 18.7789
19 34 20
19 35 21.1968
19 36 22.3677
19 37 23.5114
19 38 24.6265
19 39 25.7115
19 40 26.7652
19 41 27.7863
19 42 28.7736
19 43 29.7258
19 44 30.6418
19 45 31.5204
19 46 32.3607
19 47 33.1615
19 48 33.9219
19 49 34.641
19 50 35.3179
19 51 35.9518
19 52 36.5418
19 53 37.0874
19 54 37.5877
19 55 38.0423
19 56 38.4505
19 57 38.8118
19 58 39.1259
19 59 39.3923
19 60 39.6107
19 61 39.7809
19 62 39.9026
19 63 39.9756
19 64 40
19 65 39.9756
19 66 39.9026
19 67 39.7809
19 68 39.6107
19 69 39.3923
19 70 39.1259
19 71 38.8118
19 72 38.4505
19 73 38.0423
19 74 37.5877
19 75 37.0874
19 76 36.5418
19 77 35.9518
19 78 35.3179
19 79 34.641
20 21 1.39598
20 22 2.79026
20 23 4.18114
20 24 5.56692
20 25 6.94593
20 26 8.31647
20 27 9.67688
20 28 11.0255
20 29 12.3607
20 30 13.6808
20 31 14.9843
20 32 16.2695
20 33 17.5348
20 34 18.7789
20 35 20
20 36 21.1968
20 37 22.3677
20 38 23.5114
20 39 24.6265
20 40 25.7115
20 41 26.7652
20 42 27.7863
20 43 28.7736
20 44 29.7258
20 45 30.6418
20 46 31.5204
20 47 32.3607
20 48 33.1615
20 49 33.9219
20 50 34.641
20 51 35.3179
20 52 35.9518
20 53 36.5418
20 54 37.0874
20 55 37.5877
20 56 38.0423
20 57 38.4505
20 58 38.8118
20 59 39.1259
20 60 39.3923
20 61 39.6107
20 62 39.7809
20 63 39.9026
20 64 39.9756
20 65 40
20 66 39.9756
20 67 39.9026
20 68 39.7809
20 69 39.6107
20 70 39.3923
20 71 39.1259
20 72 38.8118
20 73 38.4505
20 74 38.0423
20 75 37.5877
20 76 37.0874
20 77 36.5418
20 78 35.9518
20 79 35.3179
21 22 1.39598
21 23 2.79026
21 24 4.18114
21 25 5.56692
21 26 6.94593
21 27 8.31647
21 28 9.67688
21 29 11.0255
21 30 12.3607
21 31 13.6808
21 32 14.9843
21 33 16.2695
21 34 17.5348
21 35 18.7789
21 36 20
21 37 21.1968
21 38 22.3677
21 39 23.5114
21 40 24.6265
21 41 25.7115
21 42 26.7652
21 43 27.7863
21 44 28.7736
21 45 29.7258
21 46 30.6418
21 47 31.5204
21 48 32.3607
21 49 33.1615
21 50 33.9219
21 51 34.641
21 52 35.3179
21 53 35.9518
21 54 36.5418
21 55 37.0874
21 56 37.5877
21 57 38.0423
21 58 38.4505
21 59 38.8118
21 60 39.1259
21 61 39.3923
21 62 39.6107
21 63 39.7809
21 64 39.9026
21 65 39.9756
21 66 40
21 67 39.9756
21 68 39.9026
21 69 39.7809
21 70 39.6107
21 71 39.3923
21 72 39.1259
21 73 38.8118
21 74 38.4505
21 75 38.0423
21 76 37.5877
21 77 37.0874
21 78 36.5418
21 79 35.9518
22 23 1.39598
22 24 2.79026
22 25 4.18114
22 26 5.56692
22 27 6.94593
22 28 8.31647
22 29 9.67688
22 30 11.0255
22 31 12.3607
22 32 13.6808
22 33 14.9843
22 34 16.2695
22 35 17.5348
22 36 18.7789
22 37 20
22 38 21.1968
22 39 22.3677
22 40 23.5114
22 41 24.6265
22 42 25.7115
22 43 26.7652
22 44 27.7863
22 45 28.7736
22 46 29.7258
22 47 30.6418
22 48 31.5204
22 49 32.3607
22 50 33.1615
22 51 33.9219
22 52 34.641
22 53 35.3179
22 54 35.9518
22 55 36.5418
22 56 37.0874
22 57 37.5877
22 58 38.0423
22 59 38.4505
22 60 38.8118
22 61 39.1259
22 62 39.3923
22 63 39.6107
22 64 39.7809
22 65 39.9026
22 66 39.9756
22 67 40
22 68 39.9756
22 69 39.9026
22 70 39.7809
22 71 39.6107
22 72 39.3923
22 73 39.1259
22 74 38.8118
22 75 38.4505
22 76 38.0423
22 77 37.5877
22 78 37.0874
22 79 36.5418
23 24 1.39598
23 25 2.79026
23 26 4.18114
23 27 5.56692
23 28 6.94593
23 29 8.31647
23 30 9.67688
23 31 11.0255
23 32 12.3607
23 33 13.6808
23 34 14.9843
23 35 16.2695
